TITLE,,CALORIES,PROTEINS
papa,682335974a3dd34cb8afcdf3,87,2.3
zapallo,682335974a3dd34cb8afcdf3,20,0.7
tomate,682335974a3dd34cb8afcdf3,27,0.8
brócoli,682335974a3dd34cb8afcdf3,35,2.4
repollo,682335974a3dd34cb8afcdf3,25,1.3
zanahoria,682335974a3dd34cb8afcdf3,41,0.9
palta,682335974a3dd34cb8afcdf3,160,2
espinaca,682335974a3dd34cb8afcdf3,23,3
rúcula,682335974a3dd34cb8afcdf3,25,2.6
banana,682335974a3dd34cb8afcdf4,89,1.1
frutilla,682335974a3dd34cb8afcdf4,32,0.7
sandia,682335974a3dd34cb8afcdf4,30,0.6
durazno,682335974a3dd34cb8afcdf4,39,0.8
mandarina,682335974a3dd34cb8afcdf4,53,0.8
manzana,682335974a3dd34cb8afcdf4,52,0.3
arvejas,682335974a3dd34cb8afcdfa,81,5.4
lentejas,682335974a3dd34cb8afcdfa,116,9
porotos negros,682335974a3dd34cb8afcdfa,132,8.9
quinoa,682335974a3dd34cb8afcdf7,120,4.4
arroz,682335974a3dd34cb8afcdf7,360,6.6
nuez,682335974a3dd34cb8afcdfb,579,21
almendra,682335974a3dd34cb8afcdfb,579,21
castaña de cajú,682335974a3dd34cb8afcdfb,579,21
chia,682335974a3dd34cb8afcdf6,500,17
harina trigo blanca,682335974a3dd34cb8afcdfc,366,11
harina trigo integral,682335974a3dd34cb8afcdfc,,
harina de maiz,682335974a3dd34cb8afcdfc,,
harina de garbanzo,682335974a3dd34cb8afcdfc,,
harina de arroz,682335974a3dd34cb8afcdfc,,
yogurt,682335974a3dd34cb8afcdf8,80,6.5
leche vegetal,682335974a3dd34cb8afcdf8,,
muzarella,682335974a3dd34cb8afcdf8,,
aceite de oliva,682335974a3dd34cb8afcdf5,884,0
aceite de girasol,682335974a3dd34cb8afcdf5,884,0
res,682335974a3dd34cb8afcdf2,176,20
pollo,682335974a3dd34cb8afcdf2,162,20
camarones,682335974a3dd34cb8afcdf2,85,20
mejillones,682335974a3dd34cb8afcdf2,85,20
calamar,682335974a3dd34cb8afcdf2,92,16
pescado,682335974a3dd34cb8afcdf2,82,18
huevo,682335974a3dd34cb8afcdfd,143,13
polvo proteina,682335974a3dd34cb8afcdf9,435,80
mostaza,682335974a3dd34cb8afcdf9,141,7.5
mayonesa,682335974a3dd34cb8afcdf9,183,0
tomate en lata,682335974a3dd34cb8afcdf9,,
atún en lata,682335974a3dd34cb8afcdf9,,